,Data Type,UTC Time,Latitude,North/South,Longitude,East/West,Quality,Satellites Num,HDOP,Altitude,Alit Unit,Geoid Height,Geo Unit,Comm Time,Check Sum,x,y
2005-09-25 23:41:12,$GPGGA,234112,3926.5031,N,11946.1982,W,2,12,0.8,1380.2,M,-22.0,M,,"*4A
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:14,$GPGGA,234114,3926.5031,N,11946.1982,W,2,12,0.9,1380.0,M,-22.0,M,,"*4F
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:16,$GPGGA,234116,3926.5031,N,11946.1982,W,2,12,0.9,1379.7,M,-22.0,M,,"*4C
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:18,$GPGGA,234118,3926.5031,N,11946.1982,W,2,12,0.9,1379.6,M,-22.0,M,,"*43
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:20,$GPGGA,234120,3926.5031,N,11946.1982,W,2,12,0.9,1379.7,M,-22.0,M,,"*49
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:22,$GPGGA,234122,3926.5031,N,11946.1982,W,2,12,0.9,1379.6,M,-22.0,M,,"*4A
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:24,$GPGGA,234124,3926.5031,N,11946.1982,W,2,12,0.9,1379.5,M,-22.0,M,,"*4F
",1943714.0237335805,-256905.46600305964
2005-09-25 23:41:26,$GPGGA,234126,3926.5031,N,11946.1983,W,2,12,0.9,1379.5,M,-22.0,M,,"*4C
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:28,$GPGGA,234128,3926.5031,N,11946.1983,W,2,12,0.9,1379.7,M,-22.0,M,,"*40
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:30,$GPGGA,234130,3926.5031,N,11946.1983,W,2,12,0.8,1380.0,M,-22.0,M,,"*49
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:32,$GPGGA,234132,3926.5031,N,11946.1983,W,2,12,0.8,1380.0,M,-22.0,M,,"*4B
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:34,$GPGGA,234134,3926.5031,N,11946.1983,W,2,12,0.8,1380.3,M,-22.0,M,,"*4E
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:36,$GPGGA,234136,3926.5031,N,11946.1983,W,2,12,0.8,1380.4,M,-22.0,M,,"*4B
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:38,$GPGGA,234138,3926.5031,N,11946.1983,W,2,12,0.8,1380.5,M,-22.0,M,,"*44
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:40,$GPGGA,234140,3926.5031,N,11946.1983,W,2,12,0.9,1380.4,M,-22.0,M,,"*4B
",1943713.87848896,-256905.50420083888
2005-09-25 23:41:42,$GPGGA,234142,3926.5031,N,11946.1984,W,2,12,0.9,1380.2,M,-22.0,M,,"*48
",1943713.7332443413,-256905.54239861434
